BioMedGraphica_Conn_ID,BioMedGraphica_ID,NCBI_Gene_ID,Ensembl_Gene_ID_Version,Gene_Start,Gene_End,Chromosome,Gene_Type,Ensembl_Gene_ID,HGNC_ID,Gene_Name,RefSeq_ID,OMIM_ID,HGNC_Symbol
BMGC_GN03924,BMG_GN004910,100420263,ENSG00000278455.1,243049782,243051619,1,processed_pseudogene,ENSG00000278455,HGNC:48836,capicua transcriptional repressor pseudogene 21,,,CICP21
BMGC_GN03925,BMG_GN004911,100420269,ENSG00000237743.4;ENSG00000290881.1,87810642;87832774,87837198;87837225,9,lncRNA;transcribed_unprocessed_pseudogene,ENSG00000237743;ENSG00000290881,HGNC:49924,fructose-bisphosphatase 2 pseudogene 1,,,FBP2P1
BMGC_GN03926,BMG_GN004912,100420273,ENSG00000269316.1,22609606,22610601,19,processed_pseudogene,ENSG00000269316,HGNC:54570,RAD54L2 pseudogene 1,,,RAD54L2P1
BMGC_GN03927,BMG_GN004913,100420275,ENSG00000251163.1,42897262,42897832,5,processed_pseudogene,ENSG00000251163,HGNC:49066,PRELI domain containing 3B pseudogene 4,,,PRELID3BP4
BMGC_GN03928,BMG_GN004915,100420281,ENSG00000225221.1,38902387,38902650,13,processed_pseudogene,ENSG00000225221,HGNC:39249,phospholipase A2 group XIIA pseudogene 2,,,PLA2G12AP2
BMGC_GN03929,BMG_GN004916,100420287,ENSG00000250416.2,35487812,35489750,4,processed_pseudogene,ENSG00000250416,HGNC:41954,"SEC63 homolog, protein translocation regulator pseudogene 2",,,SEC63P2
BMGC_GN03930,BMG_GN004917,100420292,ENSG00000258787.1,93430659,93431217,15,processed_pseudogene,ENSG00000258787,HGNC:42162,selenophosphate synthetase 1 pseudogene 2,,,SEPHS1P2
BMGC_GN03931,BMG_GN004918,100420293,ENSG00000228882.1,38452987,38455365,10,processed_pseudogene,ENSG00000228882,HGNC:37758,capicua transcriptional repressor pseudogene 9,,,CICP9
BMGC_GN03932,BMG_GN004919,100420295,ENSG00000231553.1,21394033,21394592,10,processed_pseudogene,ENSG00000231553,HGNC:44905,MRM3 pseudogene 1,,,MRM3P1
BMGC_GN03933,BMG_GN004920,100420298,ENSG00000251579.1,130927754,130928276,3,processed_pseudogene,ENSG00000251579,,makorin ring finger protein 1 pseudogene,,,LOC100420298
BMGC_GN03934,BMG_GN004921,100420300,ENSG00000242960.1,72929044,72929593,3,processed_pseudogene,ENSG00000242960,HGNC:37641,ferritin heavy chain 1 pseudogene 23,,,FTH1P23
BMGC_GN03935,BMG_GN004922,100420303,ENSG00000218213.1,133676729,133677429,6,processed_pseudogene,ENSG00000218213,HGNC:37644,ferritin heavy chain 1 pseudogene 26,,,FTH1P26
BMGC_GN03936,BMG_GN004923,100420307,ENSG00000250569.1,86481754,86483002,8,processed_pseudogene,ENSG00000250569,HGNC:45262,N-terminal asparagine amidase pseudogene 2,,,NTAN1P2
BMGC_GN03937,BMG_GN004924,100420308,ENSG00000266853.1,27612588,27613251,17,processed_pseudogene,ENSG00000266853,HGNC:20919,integral membrane protein 2B pseudogene 1,,,ITM2BP1
BMGC_GN03938,BMG_GN004925,100420317,ENSG00000215284.2,46725164,46725818,X,processed_pseudogene,ENSG00000215284,HGNC:54950,CHMP5 pseudogene 1,,,CHMP5P1
BMGC_GN03939,BMG_GN004926,100420320,ENSG00000235274.1,127728734,127730858,X,processed_pseudogene,ENSG00000235274,,kinesin family member 2A pseudogene,,,LOC100420320
BMGC_GN03940,BMG_GN004927,100420321,ENSG00000229322.1,149649174,149650124,X,processed_pseudogene,ENSG00000229322,,MAGE family member A11 pseudogene,,,LOC100420321
BMGC_GN03941,BMG_GN004928,100420323,ENSG00000229731.1,27811885,27812902,X,processed_pseudogene,ENSG00000229731,,MAGE family member B18 pseudogene,,,LOC100420323
BMGC_GN03942,BMG_GN004929,100420324,ENSG00000270794.1,30209423,30210209,X,processed_pseudogene,ENSG00000270794,,MAGE family member A10 pseudogene,,,LOC100420324
BMGC_GN03943,BMG_GN004930,100420325,ENSG00000233663.1,35710911,35711942,X,processed_pseudogene,ENSG00000233663,,MAGE family member B16 pseudogene,,,LOC100420325
BMGC_GN03944,BMG_GN004931,100420326,ENSG00000241607.1,37441523,37442068,X,unprocessed_pseudogene,ENSG00000241607,HGNC:56886,ferritin heavy chain 1 pseudogene 28,,,FTH1P28
BMGC_GN03945,BMG_GN004932,100420336,ENSG00000270241.1,34276859,34277292,1,processed_pseudogene,ENSG00000270241,,"ferritin, heavy polypeptide 1 pseudogene",,,LOC100420336
BMGC_GN03946,BMG_GN004933,100420341,ENSG00000228057.1,97545701,97546958,1,processed_pseudogene,ENSG00000228057,HGNC:41953,"SEC63 homolog, protein translocation regulator pseudogene 1",,,SEC63P1
BMGC_GN03947,BMG_GN004934,100420342,ENSG00000236040.1,111250254,111256715,1,transcribed_unprocessed_pseudogene,ENSG00000236040,HGNC:44462,"chitinase, acidic pseudogene 1",,,CHIAP1
BMGC_GN03948,BMG_GN004935,100420347,ENSG00000258836.2,58100985,58101574,14,processed_pseudogene,ENSG00000258836,,polycomb group ring finger 3 pseudogene,,,LOC100420347
BMGC_GN03949,BMG_GN004936,100420351,ENSG00000226340.1,148872253,148872797,2,processed_pseudogene,ENSG00000226340,HGNC:54601,USP8 pseudogene 2,,,USP8P2
BMGC_GN03950,BMG_GN004937,100420354,ENSG00000270639.1,4768617,4769895,9,processed_pseudogene,ENSG00000270639,HGNC:49736,extracellular matrix protein 1 pseudogene 1,,,ECM1P1
BMGC_GN03951,BMG_GN004938,100420356,ENSG00000256355.1,67424272,67424986,12,processed_pseudogene,ENSG00000256355,HGNC:45263,N-terminal asparagine amidase pseudogene 3,,,NTAN1P3
BMGC_GN03952,BMG_GN004939,100420358,ENSG00000270689.1,95143637,95145125,11,processed_pseudogene,ENSG00000270689,HGNC:51560,BUD13 homolog pseudogene 1,,,BUD13P1
BMGC_GN03953,BMG_GN004940,100420359,ENSG00000255547.1,100336856,100337625,11,processed_pseudogene,ENSG00000255547,HGNC:45118,replication protein A2 pseudogene 3,,,RPA2P3
BMGC_GN03954,BMG_GN004941,100420362,ENSG00000278854.1,7845485,7846454,Y,processed_pseudogene,ENSG00000278854,HGNC:38403,"tripartite motif containing 60 pseudogene 1, Y-linked",,,TRIM60P1Y
BMGC_GN03955,BMG_GN004942,100420363,ENSG00000273863.1,7905536,7907303,Y,processed_pseudogene,ENSG00000273863,HGNC:38405,"tripartite motif containing 60 pseudogene 2, Y-linked",,,TRIM60P2Y
BMGC_GN03956,BMG_GN004943,100420364,ENSG00000227830.1,8413037,8414054,Y,processed_pseudogene,ENSG00000227830,HGNC:38409,"tripartite motif containing 60 pseudogene 3, Y-linked",,,TRIM60P3Y
BMGC_GN03957,BMG_GN004944,100420367,ENSG00000276829.1,22861112,22861834,Y,unprocessed_pseudogene,ENSG00000276829,HGNC:38425,"tripartite motif containing 60 pseudogene 4, Y-linked",,,TRIM60P4Y
BMGC_GN03958,BMG_GN004945,100420368,ENSG00000224210.1,24494709,24495583,Y,processed_pseudogene,ENSG00000224210,HGNC:38430,"tripartite motif containing 60 pseudogene 5, Y-linked",,,TRIM60P5Y
BMGC_GN03959,BMG_GN004946,100420369,ENSG00000278602.1,24977176,24978317,Y,unprocessed_pseudogene,ENSG00000278602,HGNC:38432,"tripartite motif containing 60 pseudogene 6, Y-linked",,,TRIM60P6Y
BMGC_GN03960,BMG_GN004947,100420370,ENSG00000278197.1,25009700,25010769,Y,unprocessed_pseudogene,ENSG00000278197,HGNC:38433,"tripartite motif containing 60 pseudogene 7, Y-linked",,,TRIM60P7Y
BMGC_GN03961,BMG_GN004948,100420373,ENSG00000232764.1,23025594,23026663,Y,processed_pseudogene,ENSG00000232764,HGNC:38458,"tripartite motif containing 60 pseudogene 8, Y-linked",,,TRIM60P8Y
BMGC_GN03962,BMG_GN004949,100420374,ENSG00000227251.1,23058030,23059186,Y,processed_pseudogene,ENSG00000227251,HGNC:38459,"tripartite motif containing 60 pseudogene 9, Y-linked",,,TRIM60P9Y
BMGC_GN03963,BMG_GN004950,100420376,ENSG00000232976.1,24659337,24660406,Y,processed_pseudogene,ENSG00000232976,HGNC:38462,"tripartite motif containing 60 pseudogene 10, Y-linked",,,TRIM60P10Y
BMGC_GN03964,BMG_GN004951,100420377,ENSG00000227837.1,24691791,24692932,Y,processed_pseudogene,ENSG00000227837,HGNC:38463,"tripartite motif containing 60 pseudogene 11, Y-linked",,,TRIM60P11Y
BMGC_GN03965,BMG_GN004952,100420378,ENSG00000274899.1,25174520,25175237,Y,processed_pseudogene,ENSG00000274899,HGNC:38465,"tripartite motif containing 60 pseudogene 12, Y-linked",,,TRIM60P12Y
BMGC_GN03966,BMG_GN004953,100420385,ENSG00000250430.1,165026261,165026944,4,processed_pseudogene,ENSG00000250430,,tripartite motif-containing 75 pseudogene,,,LOC100420385
BMGC_GN03967,BMG_GN004954,100420386,ENSG00000276623.1,165016887,165017433,4,processed_pseudogene,ENSG00000276623,,tripartite motif-containing 75 pseudogene,,,LOC100420386
BMGC_GN03968,BMG_GN004955,100420389,ENSG00000270965.1,115819842,115820487,10,processed_pseudogene,ENSG00000270965,HGNC:45261,N-terminal asparagine amidase pseudogene 1,,,NTAN1P1
BMGC_GN03969,BMG_GN004956,100420392,ENSG00000237618.1,111322778,111323397,10,processed_pseudogene,ENSG00000237618,HGNC:44876,BTB domain containing 7 pseudogene 2,,,BTBD7P2
BMGC_GN03970,BMG_GN004957,100420393,ENSG00000234562.1,42145646,42146371,3,processed_pseudogene,ENSG00000234562,HGNC:44565,thiopurine S-methyltransferase pseudogene 2,,,TPMTP2
BMGC_GN03971,BMG_GN004958,100420394,ENSG00000244720.1,111633672,111635089,3,processed_pseudogene,ENSG00000244720,HGNC:54578,NT5C3A pseudogene 2,,,NT5C3AP2
BMGC_GN03972,BMG_GN004959,100420401,ENSG00000219433.2,149794763,149795746,6,processed_pseudogene,ENSG00000219433,HGNC:51541,BTB domain containing 10 pseudogene 2,,,BTBD10P2
BMGC_GN03973,BMG_GN004960,100420403,ENSG00000253160.1,39309909,39310443,8,processed_pseudogene,ENSG00000253160,,lysine acetyltransferase 2B pseudogene,,,LOC100420403
BMGC_GN03974,BMG_GN004961,100420405,ENSG00000250857.3,46792065,46793064,8,processed_pseudogene,ENSG00000250857,HGNC:38487,tripartite motif containing 60 pseudogene 15,,,TRIM60P15
BMGC_GN03975,BMG_GN004962,100420406,ENSG00000251347.2,92972575,92974738,8,processed_pseudogene,ENSG00000251347,HGNC:41981,interferon regulatory factor 5 pseudogene 1,,,IRF5P1
BMGC_GN03976,BMG_GN004963,100420410,ENSG00000265541.1,28416922,28417492,17,unprocessed_pseudogene,ENSG00000265541,HGNC:42979,H3 histone pseudogene 41,,,H3P41
BMGC_GN03977,BMG_GN004964,100420412,ENSG00000229909.1,56631739,56632727,7,processed_pseudogene,ENSG00000229909,HGNC:38488,tripartite motif containing 60 pseudogene 16,,,TRIM60P16
BMGC_GN03978,BMG_GN004965,100420413,ENSG00000283444.1,37796058,37796888,7,unitary_pseudogene,ENSG00000283444,HGNC:53813,"G protein-coupled receptor 141B, pseudogene",,,GPR141BP
BMGC_GN03979,BMG_GN004966,100420414,ENSG00000223558.1,64085560,64086576,7,processed_pseudogene,ENSG00000223558,HGNC:38489,tripartite motif containing 60 pseudogene 17,,,TRIM60P17
BMGC_GN03980,BMG_GN004967,100420415,ENSG00000227986.1,64355078,64356199,7,unprocessed_pseudogene,ENSG00000227986,HGNC:38490,tripartite motif containing 60 pseudogene 18,,,TRIM60P18
BMGC_GN03981,BMG_GN004968,100420423,ENSG00000232626.4,202438396,202439566,1,transcribed_processed_pseudogene,ENSG00000232626,,FKBP prolyl isomerase 8 pseudogene,,,LOC100420423
BMGC_GN03982,BMG_GN004969,100420424,ENSG00000258065.1,28857384,28858701,14,processed_pseudogene,ENSG00000258065,,"Vac14, PIKFYVE complex component pseudogene",,,LOC100420424
BMGC_GN03983,BMG_GN004970,100420428,ENSG00000271356.1,76260755,76261661,2,transcribed_processed_pseudogene,ENSG00000271356,HGNC:54650,USP21 pseudogene 2,,,USP21P2
BMGC_GN03984,BMG_GN004971,100420430,ENSG00000271583.1,146833501,146834038,2,processed_pseudogene,ENSG00000271583,,nipsnap homolog 2 pseudogene,,,LOC100420430
BMGC_GN03985,BMG_GN004973,100420435,ENSG00000224826.1,224169664,224171537,2,transcribed_processed_pseudogene,ENSG00000224826,HGNC:54618,USP21 pseudogene 1,,,USP21P1
BMGC_GN03986,BMG_GN004976,100420450,ENSG00000248873.1,42465400,42468868,5,processed_pseudogene,ENSG00000248873,HGNC:44635,SERPINE1 mRNA binding protein 1 pseudogene 6,,,SERBP1P6
BMGC_GN03987,BMG_GN004978,100420458,ENSG00000235205.1,23243520,23247184,13,processed_pseudogene,ENSG00000235205,HGNC:39256,TatD DNase domain containing 2 pseudogene 3,,,TATDN2P3
BMGC_GN03988,BMG_GN004979,100420462,ENSG00000270098.1,71434405,71437924,4,processed_pseudogene,ENSG00000270098,HGNC:44241,"lactate dehydrogenase A like 6E, pseudogene",,,LDHAL6EP
BMGC_GN03989,BMG_GN004980,100420466,ENSG00000214254.3,27208089,27208635,15,processed_pseudogene,ENSG00000214254,,dual specificity phosphatase 3 pseudogene,,,LOC100420466
BMGC_GN03990,BMG_GN004981,100420471,ENSG00000231395.1,23878981,23879498,3,processed_pseudogene,ENSG00000231395,HGNC:52373,ARF like GTPase 4A pseudogene 4,,,ARL4AP4
BMGC_GN03991,BMG_GN004982,100420473,ENSG00000277000.1,100221268,100223858,3,unprocessed_pseudogene,ENSG00000277000,HGNC:49059,dual specificity phosphatase 12 pseudogene 1,,,DUSP12P1
BMGC_GN03992,BMG_GN004983,100420476,ENSG00000220598.1,150384307,150385120,6,processed_pseudogene,ENSG00000220598,HGNC:39273,signal sequence receptor subunit 1 pseudogene 1,,,SSR1P1
BMGC_GN03993,BMG_GN004984,100420477,ENSG00000217783.2,157299045,157300126,6,processed_pseudogene,ENSG00000217783,HGNC:44240,"lactate dehydrogenase A like 6F, pseudogene",,,LDHAL6FP
BMGC_GN03994,BMG_GN004985,100420482,ENSG00000265863.1,31759795,31761385,17,processed_pseudogene,ENSG00000265863,HGNC:54683,GPR160 pseudogene 2,,,GPR160P2
BMGC_GN03995,BMG_GN004986,100420484,ENSG00000229442.2,8486997,8513849,18,unitary_pseudogene,ENSG00000229442,HGNC:49196,"thymocyte selection associated family member 3, pseudogene",,,THEMIS3P
BMGC_GN03996,BMG_GN004987,100420501,ENSG00000278486.1,94432631,94433273,9,processed_pseudogene,ENSG00000278486,HGNC:39919,yrdC N(6)-threonylcarbamoyltransferase domain containing pseudogene 1,,,YRDCP1
BMGC_GN03997,BMG_GN004988,100420502,ENSG00000229029.2,14593577,14594200,9,processed_pseudogene,ENSG00000229029,HGNC:49770,cell division cycle associated 4 pseudogene 1,,,CDCA4P1
BMGC_GN03998,BMG_GN004989,100420503,ENSG00000256134.1,15971890,15972609,12,processed_pseudogene,ENSG00000256134,HGNC:49857,egl-9 family hypoxia-inducible factor 3 pseudogene 1,,,EGLN3P1
BMGC_GN03999,BMG_GN004990,100420505,ENSG00000226469.1,111927018,111929017,12,unitary_pseudogene,ENSG00000226469,HGNC:44366,ADAM metallopeptidase domain 1B (pseudogene),,,ADAM1B
BMGC_GN04000,BMG_GN004991,100420508,ENSG00000250257.1,83814571,83815263,11,unprocessed_pseudogene,ENSG00000250257,HGNC:44239,"lactate dehydrogenase A like 6D, pseudogene",,,LDHAL6DP
BMGC_GN04001,BMG_GN004992,100420509,ENSG00000254843.1,87094734,87096585,11,processed_pseudogene,ENSG00000254843,HGNC:52376,X-linked inhibitor of apoptosis pseudogene 2,,,XIAPP2
BMGC_GN04002,BMG_GN004993,100420510,ENSG00000255504.2,101208905,101209450,11,transcribed_processed_pseudogene,ENSG00000255504,HGNC:55888,MTMR12 pseudogene 1,,,MTMR12P1
BMGC_GN04003,BMG_GN004994,100420512,ENSG00000250732.1,65251127,65251784,5,processed_pseudogene,ENSG00000250732,HGNC:44520,ribulose-5-phosphate-3-epimerase pseudogene 1,,,RPEP1
BMGC_GN04004,BMG_GN004995,100420514,ENSG00000251352.1,180671892,180672598,5,transcribed_processed_pseudogene,ENSG00000251352,,coiled-coil domain containing 86 pseudogene,,,LOC100420514
BMGC_GN04005,BMG_GN004996,100420515,ENSG00000251467.1,72996920,72997642,5,processed_pseudogene,ENSG00000251467,HGNC:56482,CTDNEP1 pseudogene 2,,,CTDNEP1P2
BMGC_GN04006,BMG_GN004997,100420519,ENSG00000233524.1,20747035,20748057,13,processed_pseudogene,ENSG00000233524,HGNC:39863,RAN pseudogene 8,,,RANP8
BMGC_GN04007,BMG_GN004999,100420526,ENSG00000225533.1,95183653,95184217,10,processed_pseudogene,ENSG00000225533,HGNC:45201,pro-apoptotic WT1 regulator pseudogene 1,,,PAWRP1
BMGC_GN04008,BMG_GN005000,100420527,ENSG00000242457.1,94075912,94077175,3,processed_pseudogene,ENSG00000242457,HGNC:42369,RBBP4 pseudogene 2,,,RBBP4P2
BMGC_GN04009,BMG_GN005001,100420528,ENSG00000241889.1,113885298,113886031,3,processed_pseudogene,ENSG00000241889,HGNC:56481,CTDNEP1 pseudogene 1,,,CTDNEP1P1
BMGC_GN04010,BMG_GN005002,100420531,ENSG00000270934.1,110598093,110598705,6,processed_pseudogene,ENSG00000270934,,"abhydrolase domain containing 10, depalmitoylase pseudogene",,,LOC100420531
BMGC_GN04011,BMG_GN005003,100420532,ENSG00000251354.3,47546804,47547926,8,unprocessed_pseudogene,ENSG00000251354,,ribosomal protein S4 Y-linked 2 pseudogene,,,LOC100420532
BMGC_GN04012,BMG_GN005004,100420534,ENSG00000250637.2,43442902,43452912,8,unprocessed_pseudogene,ENSG00000250637,,Rho GTPase activating protein 20 pseudogene,,,LOC100420534
BMGC_GN04013,BMG_GN005005,100420535,ENSG00000270424.1,28749959,28750595,16,processed_pseudogene,ENSG00000270424,HGNC:45202,pro-apoptotic WT1 regulator pseudogene 2,,,PAWRP2
BMGC_GN04014,BMG_GN005006,100420540,ENSG00000229762.1,55810779,55811411,7,processed_pseudogene,ENSG00000229762,,cell division cycle associated 8 pseudogene,,,LOC100420540
BMGC_GN04015,BMG_GN005007,100420541,ENSG00000271696.1,57835309,57836251,7,processed_pseudogene,ENSG00000271696,,abhydrolase domain containing 15 pseudogene,,,LOC100420541
BMGC_GN04016,BMG_GN005008,100420545,ENSG00000270749.1,57629285,57630151,7,processed_pseudogene,ENSG00000270749,,abhydrolase domain containing 15 pseudogene,,,LOC100420545
BMGC_GN04017,BMG_GN005009,100420546,ENSG00000224316.1,65773620,65802067,7,transcribed_unprocessed_pseudogene,ENSG00000224316,HGNC:51717,general transcription factor IIi pseudogene 5,,,GTF2IP5
BMGC_GN04018,BMG_GN005010,100420551,ENSG00000241207.1,48276704,48277578,X,transcribed_unprocessed_pseudogene,ENSG00000241207,HGNC:56827,"SSX family member 18, pseudogene",,,SSX18P
BMGC_GN04019,BMG_GN005011,100420552,ENSG00000230399.2,118632375,118634616,X,protein_coding,ENSG00000230399,HGNC:39583,RBBP8 pseudogene 1,,,RBBP8P1
BMGC_GN04020,BMG_GN005012,100420555,ENSG00000230833.1,27739954,27740629,1,processed_pseudogene,ENSG00000230833,HGNC:44522,ribulose-5-phosphate-3-epimerase pseudogene 3,,,RPEP3
BMGC_GN04021,BMG_GN005014,100420557,ENSG00000235613.2,77847110,77848802,1,processed_pseudogene,ENSG00000235613,HGNC:38087,nuclear speckle splicing regulatory protein 1 pseudogene 1,,,NSRP1P1
BMGC_GN04022,BMG_GN005015,100420558,ENSG00000226289.1,207658454,207659142,1,unprocessed_pseudogene,ENSG00000226289,HGNC:49772,cell division cycle associated 4 pseudogene 3,,,CDCA4P3
BMGC_GN04023,BMG_GN005016,100420567,ENSG00000224464.2,23872268,23873014,2,processed_pseudogene,ENSG00000224464,HGNC:42453,phosphoglycerate mutase 1 pseudogene 6,,,PGAM1P6
BMGC_GN04024,BMG_GN005017,100420568,ENSG00000232526.1,42463139,42463997,2,processed_pseudogene,ENSG00000232526,HGNC:50515,voltage dependent anion channel 1 pseudogene 13,,,VDAC1P13
BMGC_GN04025,BMG_GN005018,100420569,ENSG00000275094.1,97000436,97001593,2,unprocessed_pseudogene,ENSG00000275094,,ribosomal L24 domain containing 1 pseudogene,,,LOC100420569
BMGC_GN04026,BMG_GN005019,100420571,ENSG00000229023.1,190992639,190993567,2,processed_pseudogene,ENSG00000229023,HGNC:54644,RAB1A pseudogene 1,,,RAB1AP1
BMGC_GN04027,BMG_GN005020,100420572,ENSG00000227878.2,196063312,196063963,2,processed_pseudogene,ENSG00000227878,,glutathione S-transferase alpha 5 pseudogene,,,LOC100420572
BMGC_GN04028,BMG_GN005021,100420574,ENSG00000234682.1,134797169,134797879,2,processed_pseudogene,ENSG00000234682,HGNC:51932,VDAC2 pseudogene 4,,,VDAC2P4
BMGC_GN04029,BMG_GN005022,100420575,ENSG00000238065.1,140898423,140899106,2,processed_pseudogene,ENSG00000238065,HGNC:54680,LRRC57 pseudogene 1,,,LRRC57P1
BMGC_GN04030,BMG_GN005023,100420576,ENSG00000276478.1,87799501,87821803,9,transcribed_unprocessed_pseudogene,ENSG00000276478,,death associated protein kinase 1 pseudogene,,,LOC100420576
BMGC_GN04031,BMG_GN005024,100420580,ENSG00000256651.1,10831074,10832016,12,unprocessed_pseudogene,ENSG00000256651,,taste 2 receptor member 7 pseudogene,,,LOC100420580
BMGC_GN04032,BMG_GN005025,100420583,ENSG00000256657.1,11196075,11196996,12,unprocessed_pseudogene,ENSG00000256657,,taste 2 receptor member 7 pseudogene,,,LOC100420583
BMGC_GN04033,BMG_GN005026,100420587,ENSG00000290606.3,28435388,28727777,19,lncRNA,ENSG00000290606,,SHC binding and spindle associated 1 pseudogene,,,LOC100420587
BMGC_GN04034,BMG_GN005027,100420588,ENSG00000256681.1,73850469,73851211,11,processed_pseudogene,ENSG00000256681,HGNC:45028,MIX23 pseudogene 5,,,MIX23P5
BMGC_GN04035,BMG_GN005028,100420589,ENSG00000254784.1,38211389,38212799,11,processed_pseudogene,ENSG00000254784,HGNC:51151,DNAAF11 pseudogene 1,,,DNAAF11P1
BMGC_GN04036,BMG_GN005029,100420590,ENSG00000257075.1,72131282,72131907,11,processed_pseudogene,ENSG00000257075,HGNC:44525,ribulose-5-phosphate-3-epimerase pseudogene 6,,,RPEP6
BMGC_GN04037,BMG_GN005030,100420591,ENSG00000255070.1,91115961,91116555,11,processed_pseudogene,ENSG00000255070,HGNC:48733,oxysterol binding protein like 9 pseudogene 3,,,OSBPL9P3
BMGC_GN04038,BMG_GN005032,100420607,ENSG00000278496.1,27077218,27077962,13,unprocessed_pseudogene,ENSG00000278496,HGNC:39584,RBBP8 pseudogene 2,,,RBBP8P2
BMGC_GN04039,BMG_GN005033,100420608,ENSG00000271190.1,59262680,59263391,13,processed_pseudogene,ENSG00000271190,HGNC:39770,ribonuclease P/MRP subunit p40 pseudogene 2,,,RPP40P2
BMGC_GN04040,BMG_GN005034,100420611,ENSG00000271426.1,13073667,13074312,20,processed_pseudogene,ENSG00000271426,HGNC:56949,CENATAC pseudogene 1,,,CENATACP1
BMGC_GN04041,BMG_GN005035,100420612,ENSG00000233347.1,52110344,52111049,20,processed_pseudogene,ENSG00000233347,HGNC:24625,endoplasmic reticulum lumenal protein 29 pseudogene 1,,,ERP29P1
BMGC_GN04042,BMG_GN005036,100420613,ENSG00000250464.1,55313011,55313924,4,processed_pseudogene,ENSG00000250464,HGNC:49888,leucine rich repeat containing 34 pseudogene 2,,,LRRC34P2
BMGC_GN04043,BMG_GN005037,100420618,ENSG00000283930.1,38094368,38360098,10,protein_coding,ENSG00000283930,HGNC:55072,PLD5 pseudogene 1,,,PLD5P1
BMGC_GN04044,BMG_GN005038,100420620,ENSG00000242326.1,166181313,166181820,3,processed_pseudogene,ENSG00000242326,HGNC:53756,MCUR1 pseudogene 2,,,MCUR1P2
BMGC_GN04045,BMG_GN005039,100420621,ENSG00000230077.1,189969030,189969861,3,processed_pseudogene,ENSG00000230077,HGNC:42443,methylthioadenosine phosphorylase pseudogene 2,,,MTAPP2
BMGC_GN04046,BMG_GN005040,100420627,ENSG00000220377.1,52687930,52703825,6,transcribed_unprocessed_pseudogene,ENSG00000220377,HGNC:49903,"glutathione S-transferase alpha 8, pseudogene",,,GSTA8P
BMGC_GN04047,BMG_GN005042,100420633,ENSG00000220515.2,73055097,73055857,6,processed_pseudogene,ENSG00000220515,HGNC:42457,phosphoglycerate mutase 1 pseudogene 10,,,PGAM1P10
BMGC_GN04048,BMG_GN005043,100420642,ENSG00000259866.1,47561307,47562480,16,processed_pseudogene,ENSG00000259866,,Rho GTPase activating protein 20 pseudogene,,,LOC100420642
BMGC_GN04049,BMG_GN005044,100420647,ENSG00000226671.1,81191398,81192009,7,processed_pseudogene,ENSG00000226671,,voltage dependent anion channel 3 pseudogene,,,LOC100420647
BMGC_GN04050,BMG_GN005045,100420650,ENSG00000213997.3,46646594,46647330,X,processed_pseudogene,ENSG00000213997,HGNC:42454,phosphoglycerate mutase 1 pseudogene 7,,,PGAM1P7
BMGC_GN04051,BMG_GN005046,100420656,ENSG00000270524.1,113882590,113883667,X,processed_pseudogene,ENSG00000270524,HGNC:39179,queuine tRNA-ribosyltransferase catalytic subunit 1 pseudogene 1,,,QTRT1P1
BMGC_GN04052,BMG_GN005047,100420658,ENSG00000271527.1,165941235,165941769,1,processed_pseudogene,ENSG00000271527,,post-GPI attachment to proteins 2 pseudogene,,,LOC100420658
BMGC_GN04053,BMG_GN005048,100420660,ENSG00000233623.2,10058671,10059648,1,processed_pseudogene,ENSG00000233623,HGNC:42464,phosphoglycerate mutase 1 pseudogene 11,,,PGAM1P11
BMGC_GN04054,BMG_GN005049,100420665,ENSG00000233010.1,29608900,29609501,22,processed_pseudogene,ENSG00000233010,HGNC:44523,ribulose-5-phosphate-3-epimerase pseudogene 4,,,RPEP4
BMGC_GN04055,BMG_GN005050,100420666,ENSG00000233996.1,189486480,189487992,2,processed_pseudogene,ENSG00000233996,HGNC:54795,KDM3A pseudogene 1,,,KDM3AP1
BMGC_GN04056,BMG_GN005051,100420669,ENSG00000232658.1,193256483,193257757,2,processed_pseudogene,ENSG00000232658,HGNC:54781,SLC44A3 pseudogene 1,,,SLC44A3P1
BMGC_GN04057,BMG_GN005055,100420680,ENSG00000270510.1,87323709,87324359,11,processed_pseudogene,ENSG00000270510,,coiled-coil domain containing 90B pseudogene,,,LOC100420680
BMGC_GN04058,BMG_GN005056,100420681,ENSG00000249255.1,92366496,92367250,11,processed_pseudogene,ENSG00000249255,HGNC:42456,phosphoglycerate mutase 1 pseudogene 9,,,PGAM1P9
BMGC_GN04059,BMG_GN005057,100420683,ENSG00000249053.1,12794731,12795522,5,processed_pseudogene,ENSG00000249053,,EZH inhibitory protein pseudogene,,,LOC100420683
BMGC_GN04060,BMG_GN005058,100420689,ENSG00000238132.2,19563589,19564900,13,processed_pseudogene,ENSG00000238132,HGNC:39251,GOLM2 pseudogene 1,,,GOLM2P1
BMGC_GN04061,BMG_GN005059,100420695,ENSG00000250496.2,99022311,99023131,4,processed_pseudogene,ENSG00000250496,HGNC:39557,activator of basal transcription 1 pseudogene 1,,,ABT1P1
BMGC_GN04062,BMG_GN005060,100420707,ENSG00000259299.1,29233673,29235137,15,processed_pseudogene,ENSG00000259299,,DDB1 and CUL4 associated factor 6 pseudogene,,,LOC100420707
BMGC_GN04063,BMG_GN005061,100420710,ENSG00000260582.1,36626674,36627775,15,processed_pseudogene,ENSG00000260582,HGNC:44425,tyrosylprotein sulfotransferase 2 pseudogene 1,,,TPST2P1
